State,Action,Q-value
"(0, 0)",up,-8.62895529905515
"(0, 0)",down,-8.6388194089417
"(0, 0)",left,-8.65659916501207
"(0, 0)",right,-8.629879719536907
"(0, 1)",up,-8.497084298296565
"(0, 1)",down,-8.521766511539404
"(0, 1)",left,-8.499341926718584
"(0, 1)",right,-8.497137701904654
"(0, 2)",up,-8.3628298840509
"(0, 2)",down,-8.36604255647528
"(0, 2)",left,-8.364629455175315
"(0, 2)",right,-8.364344550545223
"(0, 3)",up,-8.227913799470192
"(0, 3)",down,-8.225954887780278
"(0, 3)",left,-8.223518913658673
"(0, 3)",right,-8.229310086220138
"(0, 4)",up,-8.096066799334967
"(0, 4)",down,-8.09318620694992
"(0, 4)",left,-8.09489050511646
"(0, 4)",right,-8.09178889328364
"(0, 5)",up,-7.960674063459086
"(0, 5)",down,-7.9687332346539455
"(0, 5)",left,-7.963235253009402
"(0, 5)",right,-7.964713901673329
"(0, 6)",up,-7.817585962247251
"(0, 6)",down,-7.837760462725489
"(0, 6)",left,-7.832439197076232
"(0, 6)",right,-7.833916562701146
"(0, 7)",up,-7.674357568481176
"(0, 7)",down,-7.702839004772367
"(0, 7)",left,-7.671035052137731
"(0, 7)",right,-7.7116071211321575
"(0, 8)",up,-7.540208008989452
"(0, 8)",down,-7.568823374539609
"(0, 8)",left,-7.539561702247582
"(0, 8)",right,-7.553680832842071
"(0, 9)",up,-7.420207890921709
"(0, 9)",down,-7.399615636799885
"(0, 9)",left,-7.39517358209932
"(0, 9)",right,-7.401145197097429
"(0, 10)",up,-7.282073997514402
"(0, 10)",down,-7.271223954063795
"(0, 10)",left,-7.282662515180684
"(0, 10)",right,-7.293364638990305
"(0, 11)",up,-7.1459846281765085
"(0, 11)",down,-7.160438019651186
"(0, 11)",left,-7.137877839656217
"(0, 11)",right,-7.140963371959724
"(0, 12)",up,-7.0085374757576355
"(0, 12)",down,-7.036150733147791
"(0, 12)",left,-6.9964478238564265
"(0, 12)",right,-6.99959184343413
"(0, 13)",up,-6.872690698633814
"(0, 13)",down,-6.874868210787402
"(0, 13)",left,-6.877363550256422
"(0, 13)",right,-6.875757850729336
"(0, 14)",up,-6.763563817161221
"(0, 14)",down,-6.748178053899941
"(0, 14)",left,-6.7699845980263795
"(0, 14)",right,-6.771424384822999
"(0, 15)",up,-6.674213397845271
"(0, 15)",down,-6.647133972164592
"(0, 15)",left,-6.607726372110331
"(0, 15)",right,-6.611205335128775
"(0, 16)",up,-6.559698450265926
"(0, 16)",down,-6.561143465309769
"(0, 16)",left,-6.5406357846918155
"(0, 16)",right,-6.552479942303376
"(0, 17)",up,-6.465921660566844
"(0, 17)",down,-6.457904598560259
"(0, 17)",left,-6.471540397204254
"(0, 17)",right,-6.438654544639163
"(0, 18)",up,-6.395403644762038
"(0, 18)",down,-6.3725424394322845
"(0, 18)",left,-6.365605189547122
"(0, 18)",right,-6.367249526798493
"(0, 19)",up,-6.365225833443868
"(0, 19)",down,-6.335252914328031
"(0, 19)",left,-6.332577091775612
"(0, 19)",right,-6.3567741335353585
"(1, 0)",up,-8.50237082502207
"(1, 0)",down,-8.501999359624842
"(1, 0)",left,-8.510394759224864
"(1, 0)",right,-8.498863075085033
"(1, 1)",up,-8.393518189697938
"(1, 1)",down,-8.412349165043796
"(1, 1)",left,-8.40406693196895
"(1, 1)",right,-8.395959421742843
"(1, 2)",up,-8.283361183070946
"(1, 2)",down,-8.291920376384892
"(1, 2)",left,-8.283722320884875
"(1, 2)",right,-8.282283547376771
"(1, 3)",up,-8.162490153726397
"(1, 3)",down,-8.183271076214671
"(1, 3)",left,-8.16693033222935
"(1, 3)",right,-8.16277544479305
"(1, 4)",up,-8.035001148883854
"(1, 4)",down,-8.056882735749086
"(1, 4)",left,-8.04620402574479
"(1, 4)",right,-8.037580752919746
"(1, 5)",up,-7.915842629495966
"(1, 5)",down,-7.913646093982022
"(1, 5)",left,-7.922163241164044
"(1, 5)",right,-7.914234229263092
"(1, 6)",up,-7.794378908327358
"(1, 6)",down,-7.793825586274934
"(1, 6)",left,-7.785985501693222
"(1, 6)",right,-7.814475045743889
"(1, 7)",up,-7.671134208821402
"(1, 7)",down,-7.682253609385765
"(1, 7)",left,-7.6713715002151694
"(1, 7)",right,-7.678736236907619
"(1, 8)",up,-7.522743086862803
"(1, 8)",down,-7.542872169648694
"(1, 8)",left,-7.555630616454799
"(1, 8)",right,-7.513253004269922
"(1, 9)",up,-7.386784612085354
"(1, 9)",down,-7.375382104755115
"(1, 9)",left,-7.400466089254385
"(1, 9)",right,-7.3960164534604775
"(1, 10)",up,-7.257239915381973
"(1, 10)",down,-7.270816588642178
"(1, 10)",left,-7.250479475781848
"(1, 10)",right,-7.271089679068576
"(1, 11)",up,-7.118284384104351
"(1, 11)",down,-7.137342678913251
"(1, 11)",left,-7.114096192539526
"(1, 11)",right,-7.131222290412483
"(1, 12)",up,-6.97570224811159
"(1, 12)",down,-6.99489173289299
"(1, 12)",left,-6.987304228566732
"(1, 12)",right,-6.977179872247204
"(1, 13)",up,-6.851614036852181
"(1, 13)",down,-6.8692071223739735
"(1, 13)",left,-6.839187163554536
"(1, 13)",right,-6.836463079969317
"(1, 14)",up,-6.744898207557896
"(1, 14)",down,-6.726624987749422
"(1, 14)",left,-6.760320455818989
"(1, 14)",right,-6.731610469119141
"(1, 15)",up,-6.6013850734119695
"(1, 15)",down,-6.636405929267238
"(1, 15)",left,-6.611090207100705
"(1, 15)",right,-6.605920365185359
"(1, 16)",up,-6.487172453800762
"(1, 16)",down,-6.516975417524707
"(1, 16)",left,-6.5194472853141265
"(1, 16)",right,-6.486423244892562
"(1, 17)",up,-6.395047466075941
"(1, 17)",down,-6.424525820639255
"(1, 17)",left,-6.4132728727457
"(1, 17)",right,-6.381589444122027
"(1, 18)",up,-6.3200156047520455
"(1, 18)",down,-6.342479651215501
"(1, 18)",left,-6.326694333206322
"(1, 18)",right,-6.316476487297391
"(1, 19)",up,-6.285245568860125
"(1, 19)",down,-6.298114560225698
"(1, 19)",left,-6.279740793942763
"(1, 19)",right,-6.29742753228075
"(2, 0)",up,-8.364025312586563
"(2, 0)",down,-8.376184484825648
"(2, 0)",left,-8.382148977467482
"(2, 0)",right,-8.367009816854328
"(2, 1)",up,-8.28495229283725
"(2, 1)",down,-8.295836055135306
"(2, 1)",left,-8.284673800660656
"(2, 1)",right,-8.283866848832563
"(2, 2)",up,-8.18192710328178
"(2, 2)",down,-8.21346245727217
"(2, 2)",left,-8.198549149776268
"(2, 2)",right,-8.177185442806744
"(2, 3)",up,-8.078618438764675
"(2, 3)",down,-8.080504216376003
"(2, 3)",left,-8.084026950678773
"(2, 3)",right,-8.070715668675863
"(2, 4)",up,-7.971379774475343
"(2, 4)",down,-7.964760020769237
"(2, 4)",left,-7.964368723055515
"(2, 4)",right,-7.97109853284941
"(2, 5)",up,-7.858612016137965
"(2, 5)",down,-7.85285267180889
"(2, 5)",left,-7.8517669828676695
"(2, 5)",right,-7.85327769744301
"(2, 6)",up,-7.735135502427172
"(2, 6)",down,-7.752927149267399
"(2, 6)",left,-7.757155532232999
"(2, 6)",right,-7.736735487193335
"(2, 7)",up,-7.617334705980833
"(2, 7)",down,-7.613062599640456
"(2, 7)",left,-7.648071821262096
"(2, 7)",right,-7.6176740341558435
"(2, 8)",up,-7.48105170401814
"(2, 8)",down,-7.5103040771187075
"(2, 8)",left,-7.473024004108658
"(2, 8)",right,-7.486448093236171
"(2, 9)",up,-7.34559375897977
"(2, 9)",down,-7.371123289270826
"(2, 9)",left,-7.3611800906080616
"(2, 9)",right,-7.36120881341291
"(2, 10)",up,-7.225277504589401
"(2, 10)",down,-7.222581997602763
"(2, 10)",left,-7.218754363989989
"(2, 10)",right,-7.220578686081524
"(2, 11)",up,-7.0619048344918784
"(2, 11)",down,-7.114909363343224
"(2, 11)",left,-7.088361356013113
"(2, 11)",right,-7.081284135014302
"(2, 12)",up,-6.934218291362603
"(2, 12)",down,-6.926174136882025
"(2, 12)",left,-6.923291163431787
"(2, 12)",right,-6.938537564435874
"(2, 13)",up,-6.798692007611608
"(2, 13)",down,-6.798295921877899
"(2, 13)",left,-6.797416712496997
"(2, 13)",right,-6.817614290036414
"(2, 14)",up,-6.673432265447271
"(2, 14)",down,-6.6845205763046005
"(2, 14)",left,-6.70332489021797
"(2, 14)",right,-6.67655423638799
"(2, 15)",up,-6.535846621160293
"(2, 15)",down,-6.5813291759913755
"(2, 15)",left,-6.563272435266587
"(2, 15)",right,-6.5558840733314705
"(2, 16)",up,-6.448879578108364
"(2, 16)",down,-6.4475591877770535
"(2, 16)",left,-6.4085115479324966
"(2, 16)",right,-6.40218764683567
"(2, 17)",up,-6.329601145170212
"(2, 17)",down,-6.334299885085348
"(2, 17)",left,-6.346767312554843
"(2, 17)",right,-6.310782367101887
"(2, 18)",up,-6.2349649446556095
"(2, 18)",down,-6.26769290409061
"(2, 18)",left,-6.2369802138384465
"(2, 18)",right,-6.2403084281625585
"(2, 19)",up,-6.201611009534918
"(2, 19)",down,-6.199648377818284
"(2, 19)",left,-6.193656115927983
"(2, 19)",right,-6.203078272070075
"(3, 0)",up,-8.237465624653764
"(3, 0)",down,-8.229100968191858
"(3, 0)",left,-8.235416849734273
"(3, 0)",right,-8.228680084798567
"(3, 1)",up,-8.16745236526751
"(3, 1)",down,-8.171010459313335
"(3, 1)",left,-8.178816686917301
"(3, 1)",right,-8.161606725421416
"(3, 2)",up,-8.082314334654713
"(3, 2)",down,-8.07556399018251
"(3, 2)",left,-8.089752576967758
"(3, 2)",right,-8.07675844936832
"(3, 3)",up,-7.986351649308438
"(3, 3)",down,-7.989682705719498
"(3, 3)",left,-7.979291182932857
"(3, 3)",right,-7.98972344133764
"(3, 4)",up,-7.884814155270632
"(3, 4)",down,-7.8891169828197105
"(3, 4)",left,-7.89962574674823
"(3, 4)",right,-7.888395946029546
"(3, 5)",up,-7.774741173821223
"(3, 5)",down,-7.781907520206717
"(3, 5)",left,-7.781432589291336
"(3, 5)",right,-7.788555905396425
"(3, 6)",up,-7.6555661615934305
"(3, 6)",down,-7.682697522662557
"(3, 6)",left,-7.65931431806398
"(3, 6)",right,-7.662256320082651
"(3, 7)",up,-7.541131712828307
"(3, 7)",down,-7.536573707108055
"(3, 7)",left,-7.568300085395987
"(3, 7)",right,-7.543326204569768
"(3, 8)",up,-7.413926120387995
"(3, 8)",down,-7.410981541585094
"(3, 8)",left,-7.435372583899091
"(3, 8)",right,-7.427909693454994
"(3, 9)",up,-7.281921335896024
"(3, 9)",down,-7.319872780983571
"(3, 9)",left,-7.3121907599602665
"(3, 9)",right,-7.294781432639464
"(3, 10)",up,-7.145875651055509
"(3, 10)",down,-7.208598864357823
"(3, 10)",left,-7.163343636284515
"(3, 10)",right,-7.1285046989366005
"(3, 11)",up,-7.008054133817547
"(3, 11)",down,-7.010146691676711
"(3, 11)",left,-6.9990683063351575
"(3, 11)",right,-7.00473718645419
"(3, 12)",up,-6.856124795443321
"(3, 12)",down,-6.866524596317873
"(3, 12)",left,-6.877774609730723
"(3, 12)",right,-6.87622175442041
"(3, 13)",up,-6.7546961641891174
"(3, 13)",down,-6.726428422025431
"(3, 13)",left,-6.748575636691435
"(3, 13)",right,-6.722782602394686
"(3, 14)",up,-6.603067592236437
"(3, 14)",down,-6.620775115310018
"(3, 14)",left,-6.6233187207679425
"(3, 14)",right,-6.61362394477056
"(3, 15)",up,-6.462602710214676
"(3, 15)",down,-6.472853550819929
"(3, 15)",left,-6.487858044203866
"(3, 15)",right,-6.505141921007083
"(3, 16)",up,-6.321442824013912
"(3, 16)",down,-6.326104626727966
"(3, 16)",left,-6.337676248639648
"(3, 16)",right,-6.306702279114635
"(3, 17)",up,-6.188645914978604
"(3, 17)",down,-6.2132983777678055
"(3, 17)",left,-6.188822737734553
"(3, 17)",right,-6.191794120392
"(3, 18)",up,-6.113607179642518
"(3, 18)",down,-6.105226215544265
"(3, 18)",left,-6.108180752016478
"(3, 18)",right,-6.08923531035076
"(3, 19)",up,-6.051229443640012
"(3, 19)",down,-6.065988259507609
"(3, 19)",left,-6.050815134332102
"(3, 19)",right,-6.056702186017004
"(4, 0)",up,-8.09299227100803
"(4, 0)",down,-8.101973870348292
"(4, 0)",left,-8.100654078307386
"(4, 0)",right,-8.096432218016872
"(4, 1)",up,-8.03555092449266
"(4, 1)",down,-8.056824388912503
"(4, 1)",left,-8.047700407236501
"(4, 1)",right,-8.039162428768488
"(4, 2)",up,-7.960813808821868
"(4, 2)",down,-7.978312349589212
"(4, 2)",left,-7.980036883187792
"(4, 2)",right,-7.960932489803357
"(4, 3)",up,-7.88107892214629
"(4, 3)",down,-7.9052727637472575
"(4, 3)",left,-7.904322696126743
"(4, 3)",right,-7.880791827051646
"(4, 4)",up,-7.79583245498517
"(4, 4)",down,-7.807991067481423
"(4, 4)",left,-7.8033878585329095
"(4, 4)",right,-7.786947629392776
"(4, 5)",up,-7.715223668669101
"(4, 5)",down,-7.698551332401305
"(4, 5)",left,-7.709168687264599
"(4, 5)",right,-9.226870445315802
"(4, 6)",up,-7.569496929269318
"(4, 6)",down,-7.573484627288566
"(4, 6)",left,-7.610629657281782
"(4, 6)",right,-7.5732149700404685
"(4, 7)",up,-7.450943497225503
"(4, 7)",down,-7.475596544702332
"(4, 7)",left,-7.4799131128338585
"(4, 7)",right,-7.45061799448408
"(4, 8)",up,-7.339456688035031
"(4, 8)",down,-7.347653601073691
"(4, 8)",left,-7.33026558308853
"(4, 8)",right,-7.333102550533237
"(4, 9)",up,-7.2215318348749475
"(4, 9)",down,-7.224869382640399
"(4, 9)",left,-7.20905764688327
"(4, 9)",right,-7.217052976381017
"(4, 10)",up,-7.0743416217748205
"(4, 10)",down,-7.06689364551995
"(4, 10)",left,-7.077683799534484
"(4, 10)",right,-9.950745799258486
"(4, 11)",up,-6.92365533872694
"(4, 11)",down,-6.9190328431012755
"(4, 11)",left,-6.907610221830636
"(4, 11)",right,-6.905114153521825
"(4, 12)",up,-6.769288117915839
"(4, 12)",down,-6.790850733582406
"(4, 12)",left,-6.780940286985841
"(4, 12)",right,-6.7855818465678
"(4, 13)",up,-6.641906914866288
"(4, 13)",down,-6.648928255412102
"(4, 13)",left,-6.671009434796565
"(4, 13)",right,-6.635537278193139
"(4, 14)",up,-6.502003556004567
"(4, 14)",down,-6.565626995360584
"(4, 14)",left,-6.522626475640558
"(4, 14)",right,-6.498308428897977
"(4, 15)",up,-6.38657079040525
"(4, 15)",down,-6.392248547748634
"(4, 15)",left,-6.425820906706364
"(4, 15)",right,-7.175619228677156
"(4, 16)",up,-6.164285484931376
"(4, 16)",down,-6.200096165990086
"(4, 16)",left,-6.199534705454419
"(4, 16)",right,-6.155572678435221
"(4, 17)",up,-6.032901000842422
"(4, 17)",down,-6.0226413595142745
"(4, 17)",left,-6.006871695369189
"(4, 17)",right,-6.008124612621975
"(4, 18)",up,-5.8686788699949055
"(4, 18)",down,-5.9129883674690955
"(4, 18)",left,-5.906028975626333
"(4, 18)",right,-5.866528487148143
"(4, 19)",up,-5.818312092749091
"(4, 19)",down,-5.8855415094283545
"(4, 19)",left,-5.8404799447274165
"(4, 19)",right,-5.823376578755926
"(5, 0)",up,-7.958894794434906
"(5, 0)",down,-7.965082767061597
"(5, 0)",left,-7.965656094963252
"(5, 0)",right,-7.960543734502586
"(5, 1)",up,-7.909897568481488
"(5, 1)",down,-7.911365230354674
"(5, 1)",left,-7.921985648815328
"(5, 1)",right,-7.909164806554322
"(5, 2)",up,-7.851053710637328
"(5, 2)",down,-7.841866955471592
"(5, 2)",left,-7.838151868023776
"(5, 2)",right,-7.847787292846136
"(5, 3)",up,-7.777129648355009
"(5, 3)",down,-7.77804417563751
"(5, 3)",left,-7.790664676717267
"(5, 3)",right,-7.783510547354969
"(5, 4)",up,-10.124431014718091
"(5, 4)",down,-7.717057206326362
"(5, 4)",left,-7.702564062135082
"(5, 4)",right,-7.6954435787610835
"(5, 5)",up,-4.434377276942864
"(5, 5)",down,-4.360227779681885
"(5, 5)",left,-4.405874979586007
"(5, 5)",right,-4.553150847274108
"(5, 6)",up,-7.4378758802110605
"(5, 6)",down,-9.922565448110532
"(5, 6)",left,-7.455543832169327
"(5, 6)",right,-7.42205267106037
"(5, 7)",up,-7.333152080104834
"(5, 7)",down,-7.361302625392235
"(5, 7)",left,-7.36942692058105
"(5, 7)",right,-7.334947815172344
"(5, 8)",up,-7.262888498385382
"(5, 8)",down,-7.243727753496839
"(5, 8)",left,-7.214490155890787
"(5, 8)",right,-7.222550713916978
"(5, 9)",up,-8.937667203585143
"(5, 9)",down,-7.169871111949229
"(5, 9)",left,-7.159606943425531
"(5, 9)",right,-7.1601658541102005
"(5, 10)",up,-4.047426300461963
"(5, 10)",down,-3.983687687331192
"(5, 10)",left,-3.780531264774352
"(5, 10)",right,-4.001797847105233
"(5, 11)",up,-6.7439042804857845
"(5, 11)",down,-7.866736759330788
"(5, 11)",left,-6.772690048242255
"(5, 11)",right,-6.74120532501397
"(5, 12)",up,-6.635194927884868
"(5, 12)",down,-6.634086435353679
"(5, 12)",left,-6.649352306503976
"(5, 12)",right,-6.646304470240127
"(5, 13)",up,-6.4945378070737645
"(5, 13)",down,-6.507688208101625
"(5, 13)",left,-6.53559593920612
"(5, 13)",right,-6.487832216412246
"(5, 14)",up,-7.562279234127356
"(5, 14)",down,-6.367580779557155
"(5, 14)",left,-6.397043399980465
"(5, 14)",right,-6.36713904469493
"(5, 15)",up,-2.6939821649815086
"(5, 15)",down,-2.553178135099793
"(5, 15)",left,-2.672859001660938
"(5, 15)",right,-2.753086518438702
"(5, 16)",up,-5.926965362931348
"(5, 16)",down,-6.802752736168171
"(5, 16)",left,-5.923441680446248
"(5, 16)",right,-5.912315432610392
"(5, 17)",up,-5.743571947342394
"(5, 17)",down,-5.846843180914866
"(5, 17)",left,-5.785787560127986
"(5, 17)",right,-5.725555112351243
"(5, 18)",up,-5.522207990404125
"(5, 18)",down,-5.544499165949
"(5, 18)",left,-5.577215729828077
"(5, 18)",right,-5.462093505283727
"(5, 19)",up,-5.561888003271496
"(5, 19)",down,-5.558300666055567
"(5, 19)",left,-5.549162415947658
"(5, 19)",right,-5.541391878197178
"(6, 0)",up,-7.828999574518182
"(6, 0)",down,-7.833730399265952
"(6, 0)",left,-7.851755866967859
"(6, 0)",right,-7.826851465834519
"(6, 1)",up,-7.79138103826957
"(6, 1)",down,-7.793188121214513
"(6, 1)",left,-7.779471788598462
"(6, 1)",right,-7.787867447403239
"(6, 2)",up,-7.73053141007905
"(6, 2)",down,-7.740103998775801
"(6, 2)",left,-7.733545158165046
"(6, 2)",right,-7.72150549779364
"(6, 3)",up,-7.653656291689058
"(6, 3)",down,-7.655525738681531
"(6, 3)",left,-7.690114426878998
"(6, 3)",right,-7.647881299873224
"(6, 4)",up,-7.554290518690221
"(6, 4)",down,-7.553559816542987
"(6, 4)",left,-7.5756670434100295
"(6, 4)",right,-7.560904023818417
"(6, 5)",up,-7.419964028356383
"(6, 5)",down,-7.4351767506377255
"(6, 5)",left,-8.003794671177392
"(6, 5)",right,-7.428695353467605
"(6, 6)",up,-7.316660906139103
"(6, 6)",down,-7.348752450247391
"(6, 6)",left,-7.323245865789685
"(6, 6)",right,-7.328436769739017
"(6, 7)",up,-7.231381218847889
"(6, 7)",down,-7.220604521469804
"(6, 7)",left,-7.227295140622027
"(6, 7)",right,-7.227459120284938
"(6, 8)",up,-7.114129272503556
"(6, 8)",down,-7.123976741077292
"(6, 8)",left,-7.11487346463048
"(6, 8)",right,-7.127778851122722
"(6, 9)",up,-6.993025679536975
"(6, 9)",down,-6.9816718214730304
"(6, 9)",left,-7.01307491304469
"(6, 9)",right,-6.99916478326689
"(6, 10)",up,-6.811364810920253
"(6, 10)",down,-6.820287957448699
"(6, 10)",left,-7.996563310761515
"(6, 10)",right,-6.826953030758062
"(6, 11)",up,-6.662602527156715
"(6, 11)",down,-6.686602841401734
"(6, 11)",left,-6.64661015090974
"(6, 11)",right,-6.654192830482045
"(6, 12)",up,-6.512982696442397
"(6, 12)",down,-6.526697940706611
"(6, 12)",left,-6.505105448893501
"(6, 12)",right,-6.51166384077726
"(6, 13)",up,-6.345996680714915
"(6, 13)",down,-6.355822844956246
"(6, 13)",left,-6.327704942429408
"(6, 13)",right,-6.345757073325962
"(6, 14)",up,-6.143572693768026
"(6, 14)",down,-6.159523857500243
"(6, 14)",left,-6.1678243125194046
"(6, 14)",right,-6.142639907928463
"(6, 15)",up,-5.87705489260522
